idx,sat_name,cen_name,living_street,motorway,motorway_link,primary,primary_link,residential,secondary,secondary_link,tertiary,trunk,trunk_link,unclassified,oneway,grade,n1,n1_ele,n1_lat,n1_lon,n1_x,n1_y,n2,n2_ele,n2_lat,n2_lon,n2_x,n2_y,perp1_x,perp1_y,perp2_x,perp2_y,name,city_name,city_idx,osmid,lanes
0,satelliteImage3/washington/washington_0_sat.png,centerLineImage3/washington/washington_0_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.019,49752892,65.678,38.9703435,-77.052858,221.0288253,243.3881569,49752890,65.512,38.9703172,-77.0527642,290.9711747,268.6118407,212.5761898,376.4091886,299.4238102,135.5908114,Bingham Drive Northwest,washington,0,6054324,2
1,satelliteImage3/washington/washington_1_sat.png,centerLineImage3/washington/washington_1_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.075,49760807,71.28,38.864094,-76.970738,240.7140921,208.1179807,49760808,72.154,38.863994,-76.970697,271.2859079,303.8819855,134.06288,294.9273525,377.93712,217.0726475,Naylor Road Southeast,washington,1,583910181,2
2,satelliteImage3/washington/washington_2_sat.png,centerLineImage3/washington/washington_2_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.034,49746745,85.871,38.867357,-76.950656,220.5814329,271.801799,49746747,86.179,38.86739,-76.950561,291.4185671,240.1981974,203.8483768,139.1059959,308.1516232,372.8940041,Fort Davis Drive Southeast,washington,2,126795686,2
3,satelliteImage3/washington/washington_3_sat.png,centerLineImage3/washington/washington_3_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.017,49877303,9.517,38.876535,-76.985627,192.6194062,261.7468503,49877305,9.268,38.876547,-76.985457,319.3805938,250.2531492,244.4413901,128.522949,267.5586099,383.477051,M Street Southeast,washington,3,6280736,2
4,satelliteImage3/washington/washington_4_sat.png,centerLineImage3/washington/washington_4_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.021,49779978,31.005,38.9092606,-77.0641407,240.1175689,259.4017867,49779976,31.083,38.9092677,-77.0640981,271.8824311,252.5982131,229.1922662,130.8387224,282.8077338,381.1612776,P Street Northwest,washington,4,590581677,2
5,satelliteImage3/washington/washington_5_sat.png,centerLineImage3/washington/washington_5_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.006,4629699767,17.463,38.9009432,-77.0319506,256,173.4565039,638762021,17.583,38.9007709,-77.0319506,256,338.5433959,128,256,384,256,14th Street Northwest,washington,5,468433796,6
6,satelliteImage3/washington/washington_6_sat.png,centerLineImage3/washington/washington_6_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,-0.008,5441306651,10.672,38.902516,-77.0101274,137.8883994,255.8083683,49769678,10.446,38.9025156,-77.0098106,374.1116007,256.1916318,255.792325,383.9998315,256.207675,128.0001685,K Street Northwest,washington,6,6062206,4
7,satelliteImage3/washington/washington_7_sat.png,centerLineImage3/washington/washington_7_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.007,4001195669,10.406,38.9025155,-77.0097483,279.2271235,256.0479079,49769678,10.446,38.9025156,-77.0098106,232.7728765,255.9520921,255.7359896,383.9997277,256.2640104,128.0002723,K Street Northwest,washington,7,6062206,4
8,satelliteImage3/washington/washington_8_sat.png,centerLineImage3/washington/washington_8_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.03,49877516,2.545,38.878115,-76.978657,267.1848107,249.7741076,49877517,2.456,38.878102,-76.978687,244.8151893,262.2258918,193.7452059,144.159307,318.2547941,367.840693,M Street Southeast,washington,8,6280736,2
9,satelliteImage3/washington/washington_9_sat.png,centerLineImage3/washington/washington_9_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.134,49837827,59.715,38.959878,-77.038988,231.3934165,243.53386,49837825,60.571,38.959852,-77.038922,280.6065835,268.4661378,198.1529254,370.1828182,313.8470746,141.8171818,Morrow Drive Northwest,washington,9,6060545,2
10,satelliteImage3/washington/washington_10_sat.png,centerLineImage3/washington/washington_10_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.005,5443794610,7.133,38.8932092,-77.044929,256,263.0894458,49797722,7.125,38.893224,-77.044929,256,248.9105535,128,256,384,256,20th Street Northwest,washington,10,6057421,2
11,satelliteImage3/washington/washington_11_sat.png,centerLineImage3/washington/washington_11_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.054,49749991,81.207,38.860725,-76.968836,231.0205895,226.7933482,49749992,81.686,38.860664,-76.968769,280.9794105,285.2066393,158.7249337,339.1959222,353.2750663,172.8040778,Good Hope Road Southeast,washington,11,397275066,2
12,satelliteImage3/washington/washington_12_sat.png,centerLineImage3/washington/washington_12_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.043,49895805,15.517,38.927824,-77.043862,253.3902108,286.6720221,49895803,15.824,38.927888,-77.043855,258.6097892,225.327964,128.4608456,245.1480834,383.5391544,266.8519166,Beach Drive Northwest,washington,12,130676632,2
13,satelliteImage3/washington/washington_13_sat.png,centerLineImage3/washington/washington_13_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,0.075,49756137,101.465,38.929755,-77.090949,269.7945998,336.5162795,49756140,102.877,38.929923,-77.090986,242.2054002,175.4836251,129.8382125,277.6148877,382.1617875,234.3851123,Foxhall Road Northwest,washington,13,637495441,2
14,satelliteImage3/washington/washington_14_sat.png,centerLineImage3/washington/washington_14_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,0.005,9611919053,25.592,38.912488,-77.040785,314.2355809,175.934639,8199982122,25.705,38.9123209,-77.0409412,197.7644191,336.0652668,152.4856322,180.7087279,359.5143678,331.2912721,New Hampshire Avenue Northwest,washington,14,1044606408,2
15,satelliteImage3/washington/washington_15_sat.png,centerLineImage3/washington/washington_15_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.028,1360061120,65.56,38.938679,-77.0249942,312.1104668,256,1428364612,65.19,38.938679,-77.0251447,199.8895331,256,256,128,256,384,Randolph Street Northwest,washington,15,808238528,2
16,satelliteImage3/washington/washington_16_sat.png,centerLineImage3/washington/washington_16_osm.png,0,0,0,0,0,0,1,0,0,0,0,0,FALSE,-0.033,49814190,28.044,38.936807,-77.039797,316.0251506,233.4723895,49814192,27.552,38.93676,-77.039958,195.9748494,278.527603,211.0243884,136.1617993,300.9756116,375.8382007,Piney Branch Parkway Northwest,washington,16,6058389,2
17,satelliteImage3/washington/washington_17_sat.png,centerLineImage3/washington/washington_17_osm.png,0,0,0,0,0,0,0,0,1,0,0,0,FALSE,-0.364,9123086780,8.037,38.9108513,-77.0510577,280.8675624,239.2302554,49797109,5.503,38.9108163,-77.0511244,231.1324376,272.7697405,184.4339855,149.8759897,327.5660145,362.1240103,Q Street Northwest,washington,17,24792779,3
18,satelliteImage3/washington/washington_18_sat.png,centerLineImage3/washington/washington_18_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.002,49743177,46.54,38.913116,-77.091537,345.1056583,382.975109,49743179,46.616,38.913381,-77.091776,166.8943417,129.024654,151.2248347,329.5266261,360.7751653,182.4733739,MacArthur Boulevard Northwest,washington,18,506977807,4
19,satelliteImage3/washington/washington_19_sat.png,centerLineImage3/washington/washington_19_osm.png,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,0.024,5448168726,57.826,38.914223,-77.0669511,217.0022935,166.5891049,4805803789,58.377,38.9140364,-77.0668465,294.9977065,345.4107776,138.6743362,307.1731239,373.3256638,204.8268761,Wisconsin Avenue Northwest,washington,19,125568104,4
20,satelliteImage3/washington/washington_20_sat.png,centerLineImage3/washington/washington_20_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.026,49744940,22.76,38.925932,-76.972195,247.4249785,233.9550806,49744938,22.62,38.925886,-76.972172,264.5750215,278.0449123,136.7070559,302.402516,375.2929441,209.597484,Mills Avenue Northeast,washington,20,131118560,2
21,satelliteImage3/washington/washington_21_sat.png,centerLineImage3/washington/washington_21_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0.003,49811293,70.302,38.949938,-77.057337,264.9478485,278.5317907,49811295,70.317,38.949985,-77.057361,247.0521515,233.4682018,137.0372486,303.2426057,374.9627514,208.7573943,Linnean Avenue Northwest,washington,21,112433940,2
22,satelliteImage3/washington/washington_22_sat.png,centerLineImage3/washington/washington_22_osm.png,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,-0.041,49850144,34.083,38.926057,-77.107777,176.2150172,167.8202098,49850142,32.94,38.925873,-77.107563,335.7849828,344.1796758,161.0851979,341.8788702,350.9148021,170.1211298,Potomac Avenue Northwest,washington,22,6061282,2
